accuracy,loss,val_accuracy,val_loss,learning_rate
0.5390728712081909,1.0753140449523926,0.4522058963775635,1.1220993995666504,9.999999747378752e-05
0.75,0.7157326340675354,0.3805147111415863,1.3627901077270508,9.999999747378752e-05
0.7386313676834106,0.666344404220581,0.716911792755127,0.7647712826728821,9.999999747378752e-05
0.625,0.8046737909317017,0.7463235259056091,0.6561687588691711,9.999999747378752e-05
0.8128035068511963,0.49488765001296997,0.8125,0.5052934288978577,9.999999747378752e-05
0.90625,0.22547975182533264,0.8125,0.5318975448608398,9.999999747378752e-05
0.8737306594848633,0.35686370730400085,0.84375,0.4779694378376007,9.999999747378752e-05
0.875,0.2920081317424774,0.84375,0.4325146973133087,9.999999747378752e-05
0.8996478915214539,0.27793094515800476,0.8694853186607361,0.39376842975616455,9.999999747378752e-05
0.9200000166893005,0.19603826105594635,0.8602941036224365,0.40416067838668823,9.999999747378752e-05
0.9271523356437683,0.2254076898097992,0.8639705777168274,0.38077759742736816,9.999999747378752e-05
0.875,0.3370140790939331,0.8584558963775635,0.4368998110294342,9.999999747378752e-05
0.928035318851471,0.2189866006374359,0.8676470518112183,0.38944220542907715,9.999999747378752e-05
0.96875,0.10373863577842712,0.8529411554336548,0.41298729181289673,9.999999747378752e-05
0.942163348197937,0.17705711722373962,0.8823529481887817,0.3411634564399719,4.999999873689376e-05
0.9375,0.2095905840396881,0.8805146813392639,0.34331613779067993,4.999999873689376e-05
0.9584988951683044,0.12683609127998352,0.8897058963775635,0.3860046863555908,4.999999873689376e-05
0.90625,0.3266938328742981,0.8805146813392639,0.36565515398979187,4.999999873689376e-05
0.9730684161186218,0.08503539115190506,0.8970588445663452,0.3323814272880554,2.499999936844688e-05
0.96875,0.07123862951993942,0.8915441036224365,0.3454986810684204,2.499999936844688e-05
0.9757174253463745,0.07832328975200653,0.8988970518112183,0.2991819679737091,2.499999936844688e-05
1.0,0.010807763785123825,0.908088207244873,0.2864800691604614,2.499999936844688e-05
0.9721854329109192,0.07449007034301758,0.9025735259056091,0.3117675185203552,2.499999936844688e-05
1.0,0.053416527807712555,0.8952205777168274,0.2991468012332916,2.499999936844688e-05
0.9854304790496826,0.04721187800168991,0.8933823704719543,0.35765138268470764,2.499999936844688e-05
1.0,0.04577843099832535,0.8897058963775635,0.35278522968292236,1.249999968422344e-05
0.9836644530296326,0.04748747870326042,0.9117646813392639,0.321121484041214,1.249999968422344e-05
